head,target_coverage,confidence_threshold,retained,coverage,errors,risk
preserve,0.25,0.9538601413369179,3750,0.25,43,0.011466666666666667
preserve,0.5,0.9021444320678711,7500,0.5,144,0.0192
preserve,0.75,0.7907020449638367,11250,0.75,407,0.03617777777777778
preserve,1,0.5000250339508057,15000,1.0,1359,0.0906
edit,0.25,0.8390851020812988,3750,0.25,169,0.045066666666666665
edit,0.5,0.6943854689598083,7500,0.5,921,0.1228
edit,0.75,0.5892172455787659,11250,0.75,2376,0.2112
edit,1,0.5000314712524414,15000,1.0,4174,0.27826666666666666
violation,0.25,0.8606932163238525,3750,0.25,154,0.04106666666666667
violation,0.5,0.7130994200706482,7500,0.5,1058,0.14106666666666667
violation,0.75,0.6023806929588318,11250,0.75,2511,0.2232
violation,1,0.5000287294387817,15000,1.0,4294,0.28626666666666667
micro,0.25,0.9104209542274475,11250,0.25,206,0.01831111111111111
micro,0.5,0.7774561047554016,22500,0.5,1342,0.059644444444444444
micro,0.75,0.6287992000579834,33750,0.75,4691,0.13899259259259258
micro,1,0.5000250339508057,45000,1.0,9827,0.21837777777777778
